,index,product_name,normal_price,special_price,made_in,standard_soc_ma,algodon,poliester,elastano,viscosa,lana,poliuretano,piel,acrilico,lino,otras,fibra,liocel,poliamida,elastodieno,nailon,alpaca,elastomultiester,estireno,main_txt,total_composition,1_composition,second_txt,2_composition,tercer_elemento,num_tercer_elemento,OCS,RCS,txt_recycled,cotton_OCS,rec_poliester,rec_cotton,rec_poliamida,rec_acrilico,rec_elastano,certificacion,porcentaje,certificacion_2,intertek
0,0,Vestido,"49,95                                          ","25,99                                          ",Marruecos,True,1.0,,,,,,,,,,,,,,,,,,algodon,1,1.0,,,,,,,,,,,,,,,,,False
1,1,Camisa,"29,95                                          ","17,99                                          ",Marruecos,True,1.0,,,,,,,,,,,,,,,,,,algodon,1,1.0,,,,,OCS,,,1.0,,,,,,OCS,,,True
5,2,Pantalon,"29,95                                          ","17,99                                          ",Marruecos,True,,1.0,,,,,,,,,,,,,,,,,poliester,1,1.0,,,,,,RCS,,,0.5,,,,,,,,True
6,3,Jeans,"29,95                                          ","17,99                                          ",Tunez,True,0.91,0.07,0.02,,,,,,,,,,,,,,,,algodon,3,0.91,poliester,0.07,elastano,2.0,,RCS,,,,0.2,,,,,,RCS,True
7,4,Vestido,"39,95                                          ","25,99                                          ",Turquia,True,,,,1.0,,,,,,,,,,,,,,,viscosa,1,1.0,,,,,,,,,,,,,,,,,False
8,5,Jersey,"39,95                                          ","19,99                                          ",China,True,,,,,1.0,,,,,,,,,,,,,,lana,1,1.0,,,,,,,,,,,,,,,,,False
9,6,Jeans,"29,95                                          ","17,99                                          ",Pakistan,True,0.99,,0.01,,,,,,,,,,,,,,,,algodon,2,0.99,elastano,0.01,,,OCS,RCS,,0.79,,0.2,,,,OCS,,RCS,True
10,7,Pantalon,"29,95                                          ","17,99                                          ",Camboya,True,0.61,0.36,0.03,,,,,,,,,,,,,,,,algodon,3,0.61,poliester,0.36,elastano,3.0,OCS,RCS,,0.61,0.36,,,,,OCS,,,True
14,8,Vestido,"29,95                                          ","17,99                                          ",Turquia,True,,0.88,0.12,,,,,,,,,,,,,,,,poliester,2,0.88,elastano,0.12,,,,RCS,,,0.88,,,,,,,,True
15,9,Vestido,"29,95                                          ","17,99                                          ",India,True,0.6,,,0.4,,,,,,,,,,,,,,,algodon,2,0.6,viscosa,0.4,,,OCS,,,0.6,,,,,,OCS,,,True
17,10,Bolso,"39,95                                          ","25,99                                          ",China,True,1.0,,,,,,,,,,,,,,,,,,algodon,1,1.0,,,,,,,,,,,,,,,,,False
18,11,Bolso,"25,95                                          ","15,99                                          ",China,True,,,,,,100,,,,,,,,,,,,,poliuretano,1,1.0,,,,,,,,,,,,,,,,,False
19,12,Calzado,"39,95                                          ","39,95                                          ",Vietnam,True,,,,,,100,,,,,,,,,,,,,poliuretano,1,1.0,,,,,,,,,,,,,,,,,False
20,13,Calzado,"35,95                                          ","22,99                                          ",China,True,,,,,,60,40,,,,,,,,,,,,poliuretano,2,0.6,piel,0.4,,,,,,,,,,,,,,,False
21,15,Pantalon,"35,95                                          ","35,95                                          ",Turquia,True,,0.63,0.05,0.32,,,,,,,,,,,,,,,poliester,3,0.63,viscosa,0.32,elastano,5.0,,RCS,,,0.63,,,,,,,,True
22,16,Jeans,"25,95                                          ","15,99                                          ",Bangladesh,True,1.0,,,,,,,,,,,,,,,,,,algodon,1,1.0,,,,,OCS,RCS,,0.8,,0.2,,,,OCS,,RCS,True
28,17,Chaqueta,"59,95                                          ","39,99                                          ",Marruecos,True,,1.0,,,,,,,,,,,,,,,,,poliester,1,1.0,,,,,,RCS,,,0.73,,,,,,,,True
29,18,Pantalon,"29,95                                          ","17,99                                          ",Marruecos,True,1.0,,,,,,,,,,,,,,,,,,algodon,1,1.0,,,,,OCS,,,1.0,,,,,,OCS,,,True
33,19,Jersey,"22,95                                          ","12,99                                          ",China,True,,,,,,,,1.0,,,,,,,,,,,acrilico,1,1.0,,,,,,,,,,,,,,,,,False
34,20,Pantalon,"39,95                                          ","19,99                                          ",Turquia,True,,,0.03,0.97,,,,,,,,,,,,,,,viscosa,2,0.97,elastano,0.03,,,,,,,,,,,,,,,False
38,21,Pantalon,"29,95                                          ","19,99                                          ",Turquia,True,,0.63,0.05,0.32,,,,,,,,,,,,,,,poliester,3,0.63,viscosa,0.32,elastano,5.0,,RCS,,,0.4,,,,,,,,True
42,22,Chaqueta,"79,95                                          ","49,99                                          ",Myanmar,True,,1.0,,,,,,,,,,,,,,,,,poliester,1,1.0,,,,,,,,,,,,,,,,,False
46,23,Pantalon,"29,95                                          ","19,99                                          ",Camboya,True,,0.46,,,,,,,0.54,,,,,,,,,,lino,2,0.54,poliester,0.46,,,,RCS,,,0.46,,,,,,,,True
47,24,Falda,"39,95                                          ","19,99                                          ",Camboya,True,,0.99,0.01,,,,,,,,,,,,,,,,poliester,2,0.99,elastano,0.01,,,,RCS,,,1.0,,,,,,,,True
51,25,Jersey,"19,95                                          ","19,95                                          ",China,True,,,,0.5,,,,0.5,,,,,,,,,,,acrilico,2,0.5,viscosa,0.5,,,,,,,,,,,,,,,False
55,27,Chaqueta,"69,95                                          ","39,99                                          ",Marruecos,True,0.37,0.3,,,,,,0.31,,0.01,0.01,,,,,,,,algodon,5,0.37,acrilico,0.31,poliester,30.0,,RCS,,,0.3,0.37,,,,,,RCS,True
56,28,Other,"39,95                                          ","19,99                                          ",Camboya,True,,0.46,,,,,,,0.54,,,,,,,,,,lino,2,0.54,poliester,0.46,,,,RCS,,,0.46,,,,,,,,True
57,29,Chaqueta,"79,95                                          ","49,99                                          ",China,True,,1.0,,,,,,,,,,,,,,,,,poliester,1,1.0,,,,,,,,,,,,,,,,,False
59,30,Blazer,"69,95                                          ","39,99                                          ",Marruecos,True,,1.0,,,,,,,,,,,,,,,,,poliester,1,1.0,,,,,,RCS,,,0.73,,,,,,,,True
60,31,Vestido,"29,95                                          ","17,99                                          ",Turquia,True,0.58,0.42,,,,,,,,,,,,,,,,,algodon,2,0.58,poliester,0.42,,,OCS,RCS,,0.58,0.42,,,,,OCS,,,True
61,33,Calzado,"25,95                                          ","15,99                                          ",Vietnam,True,,1.0,,,,,,,,,,,,,,,,,poliester,1,1.0,,,,,,,,,,,,,,,,,False
65,34,Other,"29,95                                          ","15,99                                          ",Marruecos,True,,,,1.0,,,,,,,,,,,,,,,viscosa,1,1.0,,,,,,,,,,,,,,,,,False
66,35,Other,"59,95                                          ","35,99                                          ",Vietnam,True,,,,,,100,,,,,,,,,,,,,poliuretano,1,1.0,,,,,,,,,,,,,,,,,False
67,36,Vestido,"29,95                                          ","17,99                                          ",Rumania,True,,0.89,0.11,,,,,,,,,,,,,,,,poliester,2,0.89,elastano,0.11,,,,RCS,,,0.89,,,,,,,,True
71,37,Pantalon,"29,95                                          ","17,99                                          ",Myanmar,True,,1.0,,,,,,,,,,,,,,,,,poliester,1,1.0,,,,,,RCS,,,0.5,,,,,,,,True
72,40,Jersey,"22,95                                          ","22,95                                          ",Turquia,True,0.46,0.51,,,,,,,,0.03,,0.05,,,,,,,poliester,4,0.51,algodon,0.46,otras,3.0,,RCS,,,0.51,0.46,,,,,,RCS,True
84,41,Vestido,"29,95                                          ","17,99                                          ",Turquia,True,,0.89,0.11,,,,,,,,,,,,,,,,poliester,2,0.89,elastano,0.11,,,,RCS,,,0.89,,,,,,,,True
85,42,Vestido,"19,95                                          ","9,99                                           ",Turquia,True,,0.3,0.03,0.64,,,,,,,0.03,,,,,,,,viscosa,4,0.64,poliester,0.3,elastano,3.0,,,,,,,,,,,,,False
105,43,Falda,"29,95                                          ","15,99                                          ",Marruecos,True,,1.0,,,,,,,,,,,,,,,,,poliester,1,1.0,,,,,,RCS,,,0.5,,,,,,,,True
106,44,Jeans,"25,95                                          ","15,99                                          ",Bangladesh,True,1.0,,,,,,,,,,,,,,,,,,algodon,1,1.0,,,,,,,,,,,,,,,,,False
162,45,Camisa,"29,95                                          ","17,99                                          ",Marruecos,True,,,,1.0,,,,,,,,,,,,,,,viscosa,1,1.0,,,,,,,,,,,,,,,,,False
166,46,Jeans,"29,95                                          ","17,99                                          ",Egipto,True,0.88,,,,,,,,0.12,,,,,,,,,,algodon,2,0.88,lino,0.12,,,OCS,,,0.88,,,,,,OCS,,,True
175,48,Vestido,"29,95                                          ","17,99                                          ",Marruecos,True,,1.0,,,,,,,,,,,,,,,,,poliester,1,1.0,,,,,,RCS,,,1.0,,,,,,,,True
176,49,Jeans,"25,95                                          ","15,99                                          ",Bangladesh,True,1.0,,,,,,,,,,,,,,,,,,algodon,1,1.0,,,,,,,,,,,,,,,,,False
