,index,product_name,price,detail,year_purchase
0,0,Vestido,"14,00                                          ",Como nuevo                                    , 2022                                             
1,1,Otros,"29,95                                          ",Nuevo con etiquetas                           , 2023                                             
2,2,Camiseta,"9,00                                           ",Como nuevo                                    , 2023                                             
3,3,Pantalon,"10,00                                          ",Como nuevo                                    , 2020                                             
4,4,Otros,"9,9                                            ",Como nuevo                                    ,                                                  
5,5,Bolso,"15,00                                          ",Como nuevo                                    , 2023                                             
6,6,Jeans,"8,00                                           ",Nuevo con etiquetas                           ,                                                  
7,7,Vestido,"22,95                                          ",Nuevo con etiquetas                           ,                                                  
8,8,Otros,"12,00                                          ",Nuevo con etiquetas                           , 2023                                             
9,9,Vestido,"23,00                                          ",Nuevo con etiquetas                           , 2023                                             
10,10,Calzado,"20,00                                          ",Nuevo con etiquetas                           ,                                                  
11,11,Mono,"19,95                                          ",Nuevo con etiquetas                           ,                                                  
12,12,Otros,"14,00                                          ",Nuevo con etiquetas                           ,                                                  
13,13,Top,"15,00                                          ",Nuevo con etiquetas                           ,                                                  
14,14,Pantalon,"28,00                                          ",Nuevo con etiquetas                           , 2024                                             
15,15,Vestido,"26,00                                          ",Como nuevo                                    , 2022                                             
16,16,Otros,"6,71                                           ",Bueno                                         , 2019                                             
17,17,Top,"5,00                                           ",Nuevo con etiquetas                           ,                                                  
18,18,Pantalon,"7,00                                           ",Como nuevo                                    ,                                                  
19,19,Top,"22,00                                          ",Nuevo con etiquetas                           ,                                                  
20,20,Otros,"15,00                                          ",Nuevo con etiquetas                           , 2024                                             
21,21,Top,"10,00                                          ",Bueno                                         , 2023                                             
22,22,Falda,"20,00                                          ",Nuevo con etiquetas                           , 2023                                             
23,23,Vestido,"30,00                                          ",Nuevo con etiquetas                           , 2023                                             
24,24,Calzado,"30,00                                          ",Nuevo con etiquetas                           ,                                                  
25,25,Vestido,"25,00                                          ",Nuevo con etiquetas                           ,                                                  
26,26,Calzado,"25,00                                          ",Como nuevo                                    , 2023                                             
27,27,Otros,"5,00                                           ",Bueno                                         ,                                                  
28,28,Pantalon,"19,00                                          ",Nuevo con etiquetas                           , 2023                                             
29,29,Vestido,"10,00                                          ",Como nuevo                                    ,                                                  
30,30,Otros,"6,00                                           ",Nuevo con etiquetas                           , 2024                                             
31,31,Bolso,"15,00                                          ",Como nuevo                                    , 2020                                             
32,32,Top,"10,00                                          ",Nuevo con etiquetas                           ,                                                  
33,33,Pantalon,"20,00                                          ",Como nuevo                                    , 2024                                             
34,34,Pantalon,"20,00                                          ",Nuevo con etiquetas                           , 2024                                             
35,35,Vestido,"15,00                                          ",Como nuevo                                    , 2023                                             
36,36,Top,"15,95                                          ",Nuevo con etiquetas                           ,                                                  
37,37,Pantalon,"15,00                                          ",Como nuevo                                    ,                                                  
38,38,Vestido,"24,00                                          ",Como nuevo                                    , 2024                                             
39,39,Calzado,"25,00                                          ",Como nuevo                                    , 2023                                             
40,40,Top,"45,00                                          ",Como nuevo                                    , 2023                                             
41,41,Otros,"10,00                                          ",Bueno                                         ,                                                  
42,42,Camiseta,"6,95                                           ",Nuevo con etiquetas                           , 2023                                             
43,43,Vestido,"7,00                                           ",Bueno                                         ,                                                  
44,44,Bolso,"20,00                                          ",Como nuevo                                    , 2023                                             
45,45,Otros,"42,9                                           ",Como nuevo                                    ,                                                  
46,46,Calzado,"17,00                                          ",Nuevo con etiquetas                           ,                                                  
47,47,Otros,"9,00                                           ",Como nuevo                                    , 2023                                             
48,48,Top,"10,00                                          ",Como nuevo                                    , 2023                                             
49,49,Calzado,"16,00                                          ",Nuevo con etiquetas                           , 2023                                             
50,50,Calzado,"15,00                                          ",Como nuevo                                    ,                                                  
51,51,Top,"16,00                                          ",Como nuevo                                    ,                                                  
52,52,Jeans,"20,00                                          ",Como nuevo                                    ,                                                  
53,53,Bolso,"18,00                                          ",Como nuevo                                    ,                                                  
54,54,Jersey,"15,00                                          ",Como nuevo                                    , 2023                                             
55,55,Top,"14,00                                          ",Nuevo con etiquetas                           , 2023                                             
56,56,Vestido,"20,00                                          ",Como nuevo                                    ,                                                  
57,57,Calzado,"60,00                                          ",Como nuevo                                    , 2022                                             
58,58,Camisa,"12,00                                          ",Nuevo con etiquetas                           , 2023                                             
59,59,Otros,"10,00                                          ",Como nuevo                                    ,                                                  
60,60,Vestido,"35,95                                          ",Nuevo con etiquetas                           , 2023                                             
61,61,Calzado,"40,00                                          ",Nuevo con etiquetas                           ,                                                  
62,62,Top,"12,00                                          ",Nuevo con etiquetas                           , 2023                                             
63,63,Otros,"18,00                                          ",Como nuevo                                    ,                                                  
64,64,Jeans,"8,00                                           ",Bueno                                         ,                                                  
65,65,Top,"7,00                                           ",Como nuevo                                    ,                                                  
66,66,Otros,"12,00                                          ",Como nuevo                                    ,                                                  
67,67,Calzado,"35,00                                          ",Como nuevo                                    , 2023                                             
68,68,Chaqueta,"28,00                                          ",Satisfactorio                                 , 2022                                             
69,69,Jeans,"8,00                                           ",Como nuevo                                    ,                                                  
70,70,Vestido,"19,9                                           ",Nuevo con etiquetas                           ,                                                  
71,71,Otros,"15,00                                          ",Como nuevo                                    , 2023                                             
72,72,Otros,"12,00                                          ",Nuevo con etiquetas                           ,                                                  
73,73,Otros,"15,99                                          ",Nuevo con etiquetas                           ,                                                  
74,74,Vestido,"27,00                                          ",Nuevo con etiquetas                           , 2023                                             
75,75,Jeans,"29,95                                          ",Nuevo con etiquetas                           , 2023                                             
76,76,Calzado,"25,00                                          ",Bueno                                         , 2023                                             
77,77,Top,"25,00                                          ",Nuevo con etiquetas                           , 2023                                             
78,78,Falda,"17,00                                          ",Como nuevo                                    ,                                                  
79,79,Vestido,"18,00                                          ",Como nuevo                                    ,                                                  
80,80,Bolso,"30,00                                          ",Como nuevo                                    ,                                                  
81,81,Otros,"15,00                                          ",Nuevo con etiquetas                           ,                                                  
82,82,Calzado,"49,00                                          ",Nuevo con etiquetas                           , 2024                                             
83,83,Bolso,"19,95                                          ",Como nuevo                                    ,                                                  
84,84,Otros,"15,00                                          ",Como nuevo                                    , 2022                                             
85,85,Camiseta,"10,00                                          ",Como nuevo                                    ,                                                  
86,86,Falda,"15,00                                          ",Como nuevo                                    , 2023                                             
87,87,Mono,"22,00                                          ",Nuevo con etiquetas                           ,                                                  
88,88,Calzado,"18,00                                          ",Como nuevo                                    , 2023                                             
89,89,Chaqueta,"25,00                                          ",Como nuevo                                    ,                                                  
90,90,Vestido,"13,00                                          ",Nuevo con etiquetas                           ,                                                  
91,91,Calzado,"29,00                                          ",Nuevo con etiquetas                           , 2023                                             
92,92,Camisa,"16,00                                          ",Nuevo con etiquetas                           ,                                                  
93,93,Falda,"25,00                                          ",Como nuevo                                    , 2023                                             
94,94,Vestido,"20,00                                          ",Nuevo con etiquetas                           ,                                                  
95,95,Otros,"10,00                                          ",Como nuevo                                    , 2023                                             
96,96,Otros,"5,00                                           ",Nuevo con etiquetas                           , 2023                                             
97,97,Vestido,"20,00                                          ",Como nuevo                                    ,                                                  
98,98,Calzado,"39,00                                          ",Nuevo con etiquetas                           , 2023                                             
99,99,Pantalon,"10,00                                          ",Bueno                                         ,                                                  
100,100,Vestido,"35,00                                          ",Como nuevo                                    , 2023                                             
101,101,Bolso,"15,00                                          ",Bueno                                         ,                                                  
102,102,Falda,"8,00                                           ",Nuevo con etiquetas                           ,                                                  
103,103,Otros,"6,71                                           ",Como nuevo                                    , 2023                                             
104,104,Vestido,"49,95                                          ",Nuevo con etiquetas                           ,                                                  
105,105,Calzado,"20,00                                          ",Nuevo con etiquetas                           ,                                                  
106,106,Vestido,"39,00                                          ",Nuevo con etiquetas                           ,                                                  
107,107,Otros,"10,00                                          ",Nuevo con etiquetas                           ,                                                  
108,108,Otros,"25,00                                          ",Como nuevo                                    , 2023                                             
109,109,Calzado,"45,00                                          ",Nuevo con etiquetas                           , 2024                                             
110,110,Vestido,"25,00                                          ",Nuevo con etiquetas                           ,                                                  
111,111,Bolso,"22,00                                          ",Bueno                                         , 2023                                             
112,112,Top,"15,00                                          ",Como nuevo                                    , 2023                                             
113,113,Jeans,"17,00                                          ",Bueno                                         ,                                                  
114,114,Jeans,"16,00                                          ",Como nuevo                                    , 2024                                             
115,115,Calzado,"35,99                                          ",Nuevo con etiquetas                           ,                                                  
116,116,Chaqueta,"15,00                                          ",Satisfactorio                                 , 2018                                             
