,index,product_name,price,made_in,standard_soc_ma,algodon,poliamida,elastano,lino,viscosa,poliester,modal,otras,liocel,fibra,acrilico,lana,seda,main_txt,total_composition,1_composition,second_txt,2_composition,OCS,RCS,txt_recycled,cotton_OCS,rec_poliester,rec_cotton,rec_poliamida,rec_acrilico,rec_elastano,certificacion,porcentaje,intertek
0,0,Camiseta Algodon Basica,8.95,Bangladesh,True,1.0,,,,,,,,,,,,,algodon,1,1.0,,,OCS,,,1.0,,,,,,OCS,1.0,True
1,1,Camiseta Algodon Basica,8.95,Bangladesh,True,1.0,,,,,,,,,,,,,algodon,1,1.0,,,OCS,,,1.0,,,,,,OCS,1.0,True
2,2,Camiseta Algodon Basica,8.95,Bangladesh,True,1.0,,,,,,,,,,,,,algodon,1,1.0,,,OCS,,,1.0,,,,,,OCS,1.0,True
3,3,Camiseta Algodon Basica,6.95,Bangladesh,True,1.0,,,,,,,,,,,,,algodon,1,1.0,,,,,,,,,,,,None,,False
4,4,Camiseta Algodon Basica,12.95,Bangladesh,True,1.0,,,,,,,,,,,,,algodon,1,1.0,,,OCS,,,1.0,,,,,,OCS,1.0,True
5,5,Camiseta Temporada,7.95,Bangladesh,True,1.0,,,,,,,,,,,,,algodon,1,1.0,,,,,,,,,,,,None,,False
6,6,Camiseta Poliamida,6.95,Marruecos,True,,0.94,0.06,,,,,,,,,,,poliamida,2,0.94,elastano,0.06,,,,,,,,,,None,,False
8,8,Camiseta Temporada,15.95,Turquia,True,1.0,,,,,,,,,,,,,algodon,1,1.0,,,OCS,,,1.0,,,,,,OCS,1.0,True
9,9,Camiseta Temporada,15.95,Turquia,True,1.0,,,,,,,,,,,,,algodon,1,1.0,,,OCS,,,1.0,,,,,,OCS,1.0,True
10,10,Camiseta Temporada,7.95,Bangladesh,True,1.0,,,,,,,,,,,,,algodon,1,1.0,,,,,,,,,,,,None,,False
11,11,Camiseta Temporada,12.95,Turquia,True,1.0,,,,,,,,,,,,,algodon,1,1.0,,,,,,,,,,,,None,,False
12,12,Camiseta Temporada,17.95,Turquia,True,1.0,,,,,,,,,,,,,algodon,1,1.0,,,,,,,,,,,,None,,False
13,13,Camiseta Temporada,12.95,Marruecos,True,1.0,,,,,,,,,,,,,algodon,1,1.0,,,,,,,,,,,,None,,False
14,14,Camiseta Algodon Basica,8.95,Bangladesh,True,1.0,,,,,,,,,,,,,algodon,1,1.0,,,OCS,,,1.0,,,,,,OCS,1.0,True
15,15,Camiseta Heavy Cotton,12.95,Bangladesh,True,1.0,,,,,,,,,,,,,algodon,1,1.0,,,OCS,,,1.0,,,,,,OCS,1.0,True
16,16,Camiseta Temporada,17.95,Portugal,True,1.0,,,,,,,,,,,,,algodon,1,1.0,,,,,,,,,,,,None,,False
17,17,Camiseta Temporada,17.95,Portugal,True,0.7,,,0.3,,,,,,,,,,algodon,2,0.7,lino,0.3,,,,,,,,,,None,,False
18,18,Camiseta Temporada,17.95,Portugal,True,0.7,,,0.3,,,,,,,,,,algodon,2,0.7,lino,0.3,,,,,,,,,,None,,False
19,19,Camiseta Temporada,17.95,Portugal,True,0.7,,,0.3,,,,,,,,,,algodon,2,0.7,lino,0.3,,,,,,,,,,None,,False
20,20,Camiseta Temporada,17.95,Turquia,True,1.0,,,,,,,,,,,,,algodon,1,1.0,,,,,,,,,,,,None,,False
21,21,Camiseta Temporada,7.95,Bangladesh,True,1.0,,,,,,,,,,,,,algodon,1,1.0,,,,,,,,,,,,None,,False
22,22,Camiseta Temporada,7.95,Bangladesh,True,1.0,,,,,,,,,,,,,algodon,1,1.0,,,,,,,,,,,,None,,False
