,product_name,price,detail,year_purchase
0,VESTIDO CUADRO VICHY,"14,00 EUR",['Como nuevo'], 2022
1,ZAPATO DESTALONADO ACHAROLADO PULSERAS,"29,95 EUR",['Nuevo con etiquetas'], 2023
2,CAMISETA RIB TIRANTES,"9,00 EUR",['Como nuevo'], 2023
3,PANTALÓN FALDA PLISADA,"10,00 EUR",['Como nuevo'], 2020
4,PAÑUELO ESTAMPADO FLORAL,"9,9 EUR",['Como nuevo'], 
5,BOLSO CESTA CAJA,"15,00 EUR",['Como nuevo'], 2023
6,JEANS SUPER WIDE LEG ESTAMPADO,"8,00 EUR",['Nuevo con etiquetas'], 
7,VESTIDO CON LINO CUT OUT,"22,95 EUR",['Nuevo con etiquetas'], 
8,PENDIENTES MARGARITAS,"12,00 EUR",['Nuevo con etiquetas'], 2023
9,VESTIDO PUNTO FLECOS,"23,00 EUR",['Nuevo con etiquetas'], 2023
10,SANDALIA PLANA ATADA CROCHET,"20,00 EUR",['Nuevo con etiquetas'], 
11,MONO CORTO CROCHET,"19,95 EUR",['Nuevo con etiquetas'], 
12,CINTURÓN MULTICOLOR,"14,00 EUR",['Nuevo con etiquetas'], 
13,TOP PUNTO CROCHET FLORES,"15,00 EUR",['Nuevo con etiquetas'], 
14,PANTALÓN PAREO ZW COLLECTION,"28,00 EUR",['Nuevo con etiquetas'], 2024
15,VESTIDO LARGO CON LINO,"26,00 EUR",['Como nuevo'], 2022
16,BANDOLERA REDONDA RAFIA,"6,71 EUR",['Bueno'], 2019
17,TOP CROCHET,"5,00 EUR",['Nuevo con etiquetas'], 
18,PANTALÓN ALGODÓN NUDO,"7,00 EUR",['Como nuevo'], 
19,TOP PUNTO POINTELLE,"22,00 EUR",['Nuevo con etiquetas'], 
20,BANDOLERA BOLSILLOS,"15,00 EUR",['Nuevo con etiquetas'], 2024
21,TOP CROP CROCHET,"10,00 EUR",['Bueno'], 2023
22,FALDA MIDI SATINADA,"20,00 EUR",['Nuevo con etiquetas'], 2023
23,VESTIDO LENCERO SATINADO,"30,00 EUR",['Nuevo con etiquetas'], 2023
24,SANDALIA TACÓN BRILLOS,"30,00 EUR",['Nuevo con etiquetas'], 
25,VESTIDO TUL FLOR,"25,00 EUR",['Nuevo con etiquetas'], 
26,SANDALIA TACÓN PIEL HEBILLA,"25,00 EUR",['Como nuevo'], 2023
27,CUERPO LENCERO,"5,00 EUR",['Bueno'], 
28,PANTALÓN CARROT CINTURÓN GRABADO,"19,00 EUR",['Nuevo con etiquetas'], 2023
29,VESTIDO PALABRA DE HONOR ONDAS,"10,00 EUR",['Como nuevo'], 
30,FLOR CUELLO CORDÓN,"6,00 EUR",['Nuevo con etiquetas'], 2024
31,BOLSO BORDADO,"15,00 EUR",['Como nuevo'], 2020
32,TOP SATINADO LAZOS,"10,00 EUR",['Nuevo con etiquetas'], 
33,PANTALÓN CINTURÓN BAJO VUELTA,"20,00 EUR",['Como nuevo'], 2024
34,FALDA PANTALÓN EFECTO PIEL,"20,00 EUR",['Nuevo con etiquetas'], 2024
35,VESTIDO MIDI CON LINO,"15,00 EUR",['Como nuevo'], 2023
36,TOP PERKINS SEAMLESS,"15,95 EUR",['Nuevo con etiquetas'], 
37,PANTALON FULL LENGTH MASCULINO,"15,00 EUR",['Como nuevo'], 
38,VESTIDO MIDI NUDO ABALORIOS,"24,00 EUR",['Como nuevo'], 2024
39,SANDALIA TACÓN BAJO ATADA,"25,00 EUR",['Como nuevo'], 2023
40,TOP SEMITRANSPARENTE ABALORIOS EFECTO ARRUGADO,"45,00 EUR",['Como nuevo'], 2023
41,COLLAR INICIAL BRILLO PLATA DE LEY,"10,00 EUR",['Bueno'], 
42,CAMISETA TIRANTES,"6,95 EUR",['Nuevo con etiquetas'], 2023
43,VESTIDO PUNTO CANALÉ,"7,00 EUR",['Bueno'], 
44,BOLSO HOMBRO SOLAPA ROCK,"20,00 EUR",['Como nuevo'], 2023
45,TRENCH EFECTO PIEL,"42,9 EUR",['Como nuevo'], 
46,SANDALIA CANGREJERA PELO,"17,00 EUR",['Nuevo con etiquetas'], 
47,PACK PENDIENTES EAR CUFF,"9,00 EUR",['Como nuevo'], 2023
48,TOP CORSETERO SATINADO,"10,00 EUR",['Como nuevo'], 2023
49,SANDALIA TACÓN PIEL TACHAS,"16,00 EUR",['Nuevo con etiquetas'], 2023
50,SANDALIA PIEL PLATAFORMA TRENZADA,"15,00 EUR",['Como nuevo'], 
51,TOP PUNTO PERLAS,"16,00 EUR",['Como nuevo'], 
52,JEANS TRF RECTOS TIRO ALTO CORAZONES,"20,00 EUR",['Como nuevo'], 
53,BOLSO CROCHET,"18,00 EUR",['Como nuevo'], 
54,JERSEY PUNTO DRAGÓN ABALORIOS,"15,00 EUR",['Como nuevo'], 2023
55,TOP CROP SATINADO COMBINADO,"14,00 EUR",['Nuevo con etiquetas'], 2023
56,VESTIDO JACQUARD BOTONES,"20,00 EUR",['Como nuevo'], 
57,SANDALIA FLATFORM TIRAS,"60,00 EUR",['Como nuevo'], 2022
58,CAMISA BOLSILLOS PLASTRÓN,"12,00 EUR",['Nuevo con etiquetas'], 2023
59,BERMUDA CICLISTA OTOMÁN,"10,00 EUR",['Como nuevo'], 
60,VESTIDO PUNTO CROCHET FLOR,"35,95 EUR",['Nuevo con etiquetas'], 2023
61,SANDALIA PLANA HEBILLAS BRILLOS,"40,00 EUR",['Nuevo con etiquetas'], 
62,TOP PUNTO ESTRUCTURA,"12,00 EUR",['Nuevo con etiquetas'], 2023
63,CINTURÓN FAJÍN CROCHET,"18,00 EUR",['Como nuevo'], 
64,JEANS Z1975 STRAIGHT CREMALLERAS,"8,00 EUR",['Bueno'], 
65,TOP PUNTO JACQUARD,"7,00 EUR",['Como nuevo'], 
66,BERMUDA DENIM MOM FIT,"12,00 EUR",['Como nuevo'], 
67,SANDALIA SERRAJE,"35,00 EUR",['Como nuevo'], 2023
68,CHAQUETA PUNTO JACQUARD GEOMÉTRICO,"28,00 EUR",['Satisfactorio'], 2022
69,JEANS Z1975 AUTHENTIC SLOUCHY,"8,00 EUR",['Como nuevo'], 
70,VESTIDO TÚNICA LINO,"19,9 EUR",['Nuevo con etiquetas'], 
71,PENDIENTES METÁLICOS FLORES,"15,00 EUR",['Como nuevo'], 2023
72,CHALECO CANALÉ,"12,00 EUR",['Nuevo con etiquetas'], 
73,SOMBRERO CINTA,"15,99 EUR",['Nuevo con etiquetas'], 
74,VESTIDO TIRANTES POPELÍN,"27,00 EUR",['Nuevo con etiquetas'], 2023
75,JEANS Z1975 RECTOS TIRO ALTO SELVEDGE,"29,95 EUR",['Nuevo con etiquetas'], 2023
76,SANDALIA PLANA DENIM,"25,00 EUR",['Bueno'], 2023
77,TOP GABARDINA ASIMÉTRICO,"25,00 EUR",['Nuevo con etiquetas'], 2023
78,FALDA MIDI DENIM,"17,00 EUR",['Como nuevo'], 
79,VESTIDO POPELÍN ESTAMPADO,"18,00 EUR",['Como nuevo'], 
80,BOLSO CESTA PERLAS,"30,00 EUR",['Como nuevo'], 
81,SHORTS HIGH RISE DENIM,"15,00 EUR",['Nuevo con etiquetas'], 
82,SANDALIA PLANA TRACK,"49,00 EUR",['Nuevo con etiquetas'], 2024
83,BOLSO SACA PIEL TRENZADA,"19,95 EUR",['Como nuevo'], 
84,PETO LARGO DENIM,"15,00 EUR",['Como nuevo'], 2022
85,CAMISETA TUL COSTURA,"10,00 EUR",['Como nuevo'], 
86,FALDA DENIM TRF,"15,00 EUR",['Como nuevo'], 2023
87,MONO LARGO COLOR,"22,00 EUR",['Nuevo con etiquetas'], 
88,SANDALIA NEOPRENO TRACK,"18,00 EUR",['Como nuevo'], 2023
89,CAZADORA DENIM,"25,00 EUR",['Como nuevo'], 
90,VESTIDO PUNTO HILO METALIZADO,"13,00 EUR",['Nuevo con etiquetas'], 
91,SANDALIA TACÓN MEDIO,"29,00 EUR",['Nuevo con etiquetas'], 2023
92,CAMISA VOLANTES ESTAMPADO ANIMAL,"16,00 EUR",['Nuevo con etiquetas'], 
93,FALDA DENIM MIDI BOTONES,"25,00 EUR",['Como nuevo'], 2023
94,VESTIDO 2 EN 1 LIMITED EDITION,"20,00 EUR",['Nuevo con etiquetas'], 
95,MINI BANDOLERA,"10,00 EUR",['Como nuevo'], 2023
96,PENDIENTES ARO IRREGULAR,"5,00 EUR",['Nuevo con etiquetas'], 2023
97,MAXI VESTIDO APLIQUE,"20,00 EUR",['Como nuevo'], 
98,SANDALIA PLANA VOLANTE SERRAJE,"39,00 EUR",['Nuevo con etiquetas'], 2023
99,PANTALÓN TIRO ALTO CINTURÓN,"10,00 EUR",['Bueno'], 
100,VESTIDO ASIMÉTRICO EFECTO ARRUGADO,"35,00 EUR",['Como nuevo'], 2023
101,BOLSO MINI CITY,"15,00 EUR",['Bueno'], 
102,FALDA MIDI SOFT,"8,00 EUR",['Nuevo con etiquetas'], 
103,PULSERA TWISTED,"6,71 EUR",['Como nuevo'], 2023
104,VESTIDO LARGO LIMITED EDITION,"49,95 EUR",['Nuevo con etiquetas'], 
105,SANDALIA PLANA ABALORIOS,"20,00 EUR",['Nuevo con etiquetas'], 
106,VESTIDO CORTO BORDADOS,"39,00 EUR",['Nuevo con etiquetas'], 
107,ACCESSORIES 07,"10,00 EUR",['Nuevo con etiquetas'], 
108,CHALECO ABALORIOS CON LINO,"25,00 EUR",['Como nuevo'], 2023
109,SANDALIA FLATFORM PULSERA,"45,00 EUR",['Nuevo con etiquetas'], 2024
110,VESTIDO MIDI MONEDAS,"25,00 EUR",['Nuevo con etiquetas'], 
111,BOLSO SACA PESPUNTES,"22,00 EUR",['Bueno'], 2023
112,TOP PUNTO POINTELLE VOLANTES,"15,00 EUR",['Como nuevo'], 2023
113,JEANS ZW COLLECTION BARREL CROPPED TIRO MEDIO,"17,00 EUR",['Bueno'], 
114,JEANS ZW COLLECTION WIDE LEG TIRO ALTO,"16,00 EUR",['Como nuevo'], 2024
115,SANDALIA PLANA ADORNO METÁLICO,"35,99 EUR",['Nuevo con etiquetas'], 
116,CAZADORA BIKER,"15,00 EUR",['Satisfactorio'], 2018
117,PENDIENTES FLOR,"12,00 EUR",['Nuevo con etiquetas'], 2023
118,CAMISA OVERSIZE BORDADOS PERFORADOS,"15,00 EUR",['Como nuevo'], 
119,PANTALÓN SLOUCHY CORDÓN,"30,00 EUR",['Nuevo con etiquetas'], 
