,product_name,normal_price,special_price,description
0,['VESTIDO CAMISERO POPELÍN ANUDADO ZW COLLECTION'],"49,95 EUR","25,99 EUR","['COMPOSICIÓN, CUIDADOS & ORIGENCOMPOSICIÓNTrabajamos con programas de seguimiento para garantizar el cumplimiento de nuestros estándares sociales, medioambientales y de seguridad y salud de nuestros productos. Para evaluar su cumplimiento hemos desarrollado un programa de auditorías y planes de mejora continua.EXTERIOR100% algodónFORRO100% algodónCUIDADOSCuidar de tus prendas es cuidar del medioambiente.Lava tus prendas sólo cuando sea necesario, a veces es suficiente con ventilarlas. Los procesos de lavado desgastan poco a poco los tejidos, reduciéndo los lavados alargamos la vida de nuestras prendas y reducimos el consumo de agua y energía en procesos de cuidado.Guía para el cuidado de la ropaLavar a mano max 30ºCNo usar lejía / blanqueadorPlanchar máximo 110ºCLim.Seco tetracloroetilenoNo usar secadoraORIGENTrabajamos con nuestros proveedores, trabajadores, sindicatos y organismos internacionales para desarrollar una cadena de suministro en la que se respetan y promueven los derechos humanos, contribuyendo a los Objetivos de Desarrollo Sostenible de Naciones Unidas.Gracias a la colaboración con nuestros proveedores, trabajamos para conocer las instalaciones y procesos que se emplean para fabricar nuestros productos con el objetivo de conocer su trazabilidad.Hecho en MarruecosVer más']"
1,['CAMISA PLIEGUES CINTURÓN ZW COLLECTION'],"29,95 EUR","17,99 EUR","['COMPOSICIÓN, CUIDADOS & ORIGENCOMPOSICIÓNTrabajamos con programas de seguimiento para garantizar el cumplimiento de nuestros estándares sociales, medioambientales y de seguridad y salud de nuestros productos. Para evaluar su cumplimiento hemos desarrollado un programa de auditorías y planes de mejora continua.EXTERIOR100% algodónQue contiene al menos:EXTERIOR100% algodón de cultivo orgánico certificado OCSMATERIALES CERTIFICADOSALGODÓN DE CULTIVO ORGÁNICO CERTIFICADO OCSEsta fibra se produce sin utilizar fertilizantes ni pesticidas artificiales y se cultiva a partir de semillas que no han sido modificadas genéticamente. Actualmente trabajamos con el Organic Content Standard (OCS) que supervisa el proceso desde el origen hasta el producto final.Certificado por Intertek 193341Más informaciónCUIDADOSCuidar de tus prendas es cuidar del medioambienteLos lavados a bajas temperaturas y los programas de centrifugado suaves son más delicados con las prendas, ayudando a mantener el color, la forma y la estructura del tejido. Al mismo tiempo, reduce el consumo de energía que se utiliza en los procesos de cuidado.Guía para el cuidado de la ropaLavar a máquina max. 30ºC. Centrifugado cortoNo usar lejía / blanqueadorPlanchar máximo 110ºCLimpieza en seco solo esencias mineralesNo usar secadoraORIGENTrabajamos con nuestros proveedores, trabajadores, sindicatos y organismos internacionales para desarrollar una cadena de suministro en la que se respetan y promueven los derechos humanos, contribuyendo a los Objetivos de Desarrollo Sostenible de Naciones Unidas.Gracias a la colaboración con nuestros proveedores, trabajamos para conocer las instalaciones y procesos que se emplean para fabricar nuestros productos con el objetivo de conocer su trazabilidad.Esta prenda se ha producido en los siguientes orígenes:Hecho en MarruecosHecho en TurquíaVer más']"
2,['PANTALÓN FLARE BOLSILLOS ZW COLLECTION'],"29,95 EUR","17,99 EUR","['COMPOSICIÓN, CUIDADOS & ORIGENCOMPOSICIÓNTrabajamos con programas de seguimiento para garantizar el cumplimiento de nuestros estándares sociales, medioambientales y de seguridad y salud de nuestros productos. Para evaluar su cumplimiento hemos desarrollado un programa de auditorías y planes de mejora continua.EXTERIOR100% poliésterQue contiene al menos:EXTERIOR50% poliéster reciclado certificado RCSMATERIALES CERTIFICADOSPOLIÉSTER RECICLADO CERTIFICADO RCSActualmente, el poliéster reciclado se fabrica principalmente a partir de residuos de plástico PET. Se trata de un tipo de plástico muy utilizado en diversos artículos, como las botellas de plástico. El uso de materiales reciclados ayuda a limitar la producción de fibra de poliéster virgen. Está certificado según el Recycled Claim Standard  (RCS), que verifica el contenido reciclado y hace un seguimiento desde el origen hasta el producto final.Certificado por Intertek 193341Más informaciónCUIDADOSCuidar de tus prendas es cuidar del medioambiente.Lava tus prendas sólo cuando sea necesario, a veces es suficiente con ventilarlas. Los procesos de lavado desgastan poco a poco los tejidos, reduciéndo los lavados alargamos la vida de nuestras prendas y reducimos el consumo de agua y energía en procesos de cuidado.Guía para el cuidado de la ropaLavar a mano max 30ºCNo usar lejía / blanqueadorPlanchar máximo 110ºCNo limpieza en secoNo usar secadoraORIGENTrabajamos con nuestros proveedores, trabajadores, sindicatos y organismos internacionales para desarrollar una cadena de suministro en la que se respetan y promueven los derechos humanos, contribuyendo a los Objetivos de Desarrollo Sostenible de Naciones Unidas.Gracias a la colaboración con nuestros proveedores, trabajamos para conocer las instalaciones y procesos que se emplean para fabricar nuestros productos con el objetivo de conocer su trazabilidad.Esta prenda se ha producido en los siguientes orígenes:Hecho en MarruecosHecho en CamboyaVer más']"
3,['JEANS ZW COLLECTION MARINE STRAIGHT TIRO ALTO'],"29,95 EUR","17,99 EUR","['COMPOSICIÓN, CUIDADOS & ORIGENCOMPOSICIÓNTrabajamos con programas de seguimiento para garantizar el cumplimiento de nuestros estándares sociales, medioambientales y de seguridad y salud de nuestros productos. Para evaluar su cumplimiento hemos desarrollado un programa de auditorías y planes de mejora continua.EXTERIOR91% algodón7% poliéster2% elastanoQue contiene al menos:EXTERIOR20% algodón reciclado certificado RCSMATERIALES CERTIFICADOSALGODÓN RECICLADO CERTIFICADO RCSEsta fibra se fabrica a partir de residuos textiles de algodón reciclado. El uso de materiales reciclados ayuda a limitar el consumo de materias primas. Está certificada conforme al Recycled Claim Standard  (RCS), que verifica el contenido reciclado y hace un seguimiento desde el origen hasta el producto final.Certificado por Intertek 193341Más informaciónCUIDADOSCuidar de tus prendas es cuidar del medioambienteLos lavados a bajas temperaturas y los programas de centrifugado suaves son más delicados con las prendas, ayudando a mantener el color, la forma y la estructura del tejido. Al mismo tiempo, reduce el consumo de energía que se utiliza en los procesos de cuidado.Guía para el cuidado de la ropaLavar a máquina max. 40ºC centrifugado cortoNo usar lejía / blanqueadorPlanchar máximo 110ºCLim.Seco tetracloroetilenoSe puede usar secadora temperatura reducidaORIGENTrabajamos con nuestros proveedores, trabajadores, sindicatos y organismos internacionales para desarrollar una cadena de suministro en la que se respetan y promueven los derechos humanos, contribuyendo a los Objetivos de Desarrollo Sostenible de Naciones Unidas.Gracias a la colaboración con nuestros proveedores, trabajamos para conocer las instalaciones y procesos que se emplean para fabricar nuestros productos con el objetivo de conocer su trazabilidad.Hecho en TúnezVer más']"
4,['VESTIDO ESTAMPADO ZW COLLECTION'],"39,95 EUR","25,99 EUR","['COMPOSICIÓN, CUIDADOS & ORIGENCOMPOSICIÓNTrabajamos con programas de seguimiento para garantizar el cumplimiento de nuestros estándares sociales, medioambientales y de seguridad y salud de nuestros productos. Para evaluar su cumplimiento hemos desarrollado un programa de auditorías y planes de mejora continua.EXTERIOR100% viscosaCUIDADOSCuidar de tus prendas es cuidar del medioambienteLos lavados a bajas temperaturas y los programas de centrifugado suaves son más delicados con las prendas, ayudando a mantener el color, la forma y la estructura del tejido. Al mismo tiempo, reduce el consumo de energía que se utiliza en los procesos de cuidado.Guía para el cuidado de la ropaLavar a máquina max. 40ºC centrifugado cortoNo usar lejía / blanqueadorPlanchar máximo 150 º CLim.Seco tetracloroetilenoNo usar secadoraORIGENTrabajamos con nuestros proveedores, trabajadores, sindicatos y organismos internacionales para desarrollar una cadena de suministro en la que se respetan y promueven los derechos humanos, contribuyendo a los Objetivos de Desarrollo Sostenible de Naciones Unidas.Gracias a la colaboración con nuestros proveedores, trabajamos para conocer las instalaciones y procesos que se emplean para fabricar nuestros productos con el objetivo de conocer su trazabilidad.Hecho en TurquíaVer más']"
5,['JERSEY BÁSICO 100% LANA'],"39,95 EUR","19,99 EUR","['COMPOSICIÓN, CUIDADOS & ORIGENCOMPOSICIÓNTrabajamos con programas de seguimiento para garantizar el cumplimiento de nuestros estándares sociales, medioambientales y de seguridad y salud de nuestros productos. Para evaluar su cumplimiento hemos desarrollado un programa de auditorías y planes de mejora continua.EXTERIOR100% lanaCUIDADOSCuidar de tus prendas es cuidar del medioambiente.Lava tus prendas sólo cuando sea necesario, a veces es suficiente con ventilarlas. Los procesos de lavado desgastan poco a poco los tejidos, reduciéndo los lavados alargamos la vida de nuestras prendas y reducimos el consumo de agua y energía en procesos de cuidado.Guía para el cuidado de la ropaLavar a mano max 30ºCNo usar lejía / blanqueadorPlanchar máximo 110ºCLim.Seco tetracloroetilenoSe puede usar secadora temperatura reducidaORIGENTrabajamos con nuestros proveedores, trabajadores, sindicatos y organismos internacionales para desarrollar una cadena de suministro en la que se respetan y promueven los derechos humanos, contribuyendo a los Objetivos de Desarrollo Sostenible de Naciones Unidas.Gracias a la colaboración con nuestros proveedores, trabajamos para conocer las instalaciones y procesos que se emplean para fabricar nuestros productos con el objetivo de conocer su trazabilidad.Hecho en ChinaVer más']"
6,['JEANS ZW COLLECTION LOOSE SLIM TIRO MEDIO'],"29,95 EUR","17,99 EUR","['COMPOSICIÓN, CUIDADOS & ORIGENCOMPOSICIÓNTrabajamos con programas de seguimiento para garantizar el cumplimiento de nuestros estándares sociales, medioambientales y de seguridad y salud de nuestros productos. Para evaluar su cumplimiento hemos desarrollado un programa de auditorías y planes de mejora continua.EXTERIOR99% algodón1% elastanoQue contiene al menos:EXTERIOR20% algodón reciclado certificado RCS79% algodón de cultivo orgánico certificado OCSMATERIALES CERTIFICADOSALGODÓN RECICLADO CERTIFICADO RCSEsta fibra se fabrica a partir de residuos textiles de algodón reciclado. El uso de materiales reciclados ayuda a limitar el consumo de materias primas. Está certificada conforme al Recycled Claim Standard  (RCS), que verifica el contenido reciclado y hace un seguimiento desde el origen hasta el producto final.Certificado por Intertek 193341Más informaciónALGODÓN DE CULTIVO ORGÁNICO CERTIFICADO OCSEsta fibra se produce sin utilizar fertilizantes ni pesticidas artificiales y se cultiva a partir de semillas que no han sido modificadas genéticamente. Actualmente trabajamos con el Organic Content Standard (OCS) que supervisa el proceso desde el origen hasta el producto final.Certificado por Intertek 193341Más informaciónCUIDADOSCuidar de tus prendas es cuidar del medioambiente.Para alargar la vida de tus prendas de denim lávalas siempre a bajas temperaturas y del revés, de esta forma ayudamos a preservar los colores, la estructura del tejido y reducimos el consumo de energía.Guía para el cuidado de la ropaLavar a máquina max. 30ºC. Centrifugado cortoNo usar lejía / blanqueadorPlanchar máximo 110ºCNo limpieza en secoSe puede usar secadora temperatura reducidaLavar por separadoORIGENTrabajamos con nuestros proveedores, trabajadores, sindicatos y organismos internacionales para desarrollar una cadena de suministro en la que se respetan y promueven los derechos humanos, contribuyendo a los Objetivos de Desarrollo Sostenible de Naciones Unidas.Gracias a la colaboración con nuestros proveedores, trabajamos para conocer las instalaciones y procesos que se emplean para fabricar nuestros productos con el objetivo de conocer su trazabilidad.Hecho en PakistánVer más']"
7,['PANTALÓN CHINO CINTURÓN'],"29,95 EUR","17,99 EUR","['COMPOSICIÓN, CUIDADOS & ORIGENCOMPOSICIÓNTrabajamos con programas de seguimiento para garantizar el cumplimiento de nuestros estándares sociales, medioambientales y de seguridad y salud de nuestros productos. Para evaluar su cumplimiento hemos desarrollado un programa de auditorías y planes de mejora continua.EXTERIOR61% algodón36% poliéster3% elastanoQue contiene al menos:EXTERIOR36% poliéster reciclado certificado RCS61% algodón de cultivo orgánico certificado OCSMATERIALES CERTIFICADOSPOLIÉSTER RECICLADO CERTIFICADO RCSActualmente, el poliéster reciclado se fabrica principalmente a partir de residuos de plástico PET. Se trata de un tipo de plástico muy utilizado en diversos artículos, como las botellas de plástico. El uso de materiales reciclados ayuda a limitar la producción de fibra de poliéster virgen. Está certificado según el Recycled Claim Standard  (RCS), que verifica el contenido reciclado y hace un seguimiento desde el origen hasta el producto final.Certificado por Intertek 193341Más informaciónALGODÓN DE CULTIVO ORGÁNICO CERTIFICADO OCSEsta fibra se produce sin utilizar fertilizantes ni pesticidas artificiales y se cultiva a partir de semillas que no han sido modificadas genéticamente. Actualmente trabajamos con el Organic Content Standard (OCS) que supervisa el proceso desde el origen hasta el producto final.Certificado por Intertek 193341Más informaciónCUIDADOSCuidar de tus prendas es cuidar del medioambienteLos lavados a bajas temperaturas y los programas de centrifugado suaves son más delicados con las prendas, ayudando a mantener el color, la forma y la estructura del tejido. Al mismo tiempo, reduce el consumo de energía que se utiliza en los procesos de cuidado.Guía para el cuidado de la ropaLavar a máquina max. 30ºC. Centrifugado cortoNo usar lejía / blanqueadorPlanchar máximo 110ºCNo limpieza en secoNo usar secadoraORIGENTrabajamos con nuestros proveedores, trabajadores, sindicatos y organismos internacionales para desarrollar una cadena de suministro en la que se respetan y promueven los derechos humanos, contribuyendo a los Objetivos de Desarrollo Sostenible de Naciones Unidas.Gracias a la colaboración con nuestros proveedores, trabajamos para conocer las instalaciones y procesos que se emplean para fabricar nuestros productos con el objetivo de conocer su trazabilidad.Hecho en CamboyaVer más']"
8,['VESTIDO MIDI ELÁSTICO'],"29,95 EUR","17,99 EUR","['COMPOSICIÓN, CUIDADOS & ORIGENCOMPOSICIÓNTrabajamos con programas de seguimiento para garantizar el cumplimiento de nuestros estándares sociales, medioambientales y de seguridad y salud de nuestros productos. Para evaluar su cumplimiento hemos desarrollado un programa de auditorías y planes de mejora continua.EXTERIOR88% poliéster12% elastanoFORROTEJIDO PRINCIPAL100% poliésterTEJIDO SECUNDARIO88% poliéster12% elastanoQue contiene al menos:EXTERIOR88% poliéster reciclado certificado RCSFORROTEJIDO SECUNDARIO88% poliéster reciclado certificado RCSMATERIALES CERTIFICADOSPOLIÉSTER RECICLADO CERTIFICADO RCSActualmente, el poliéster reciclado se fabrica principalmente a partir de residuos de plástico PET. Se trata de un tipo de plástico muy utilizado en diversos artículos, como las botellas de plástico. El uso de materiales reciclados ayuda a limitar la producción de fibra de poliéster virgen. Está certificado según el Recycled Claim Standard  (RCS), que verifica el contenido reciclado y hace un seguimiento desde el origen hasta el producto final.Certificado por Intertek 193341Más informaciónCUIDADOSCuidar de tus prendas es cuidar del medioambienteLos lavados a bajas temperaturas y los programas de centrifugado suaves son más delicados con las prendas, ayudando a mantener el color, la forma y la estructura del tejido. Al mismo tiempo, reduce el consumo de energía que se utiliza en los procesos de cuidado.Guía para el cuidado de la ropaLavar a máquina max. 30ºC. Centrifugado cortoNo usar lejía / blanqueadorPlanchar máximo 110ºCLim.Seco tetracloroetilenoNo usar secadoraORIGENTrabajamos con nuestros proveedores, trabajadores, sindicatos y organismos internacionales para desarrollar una cadena de suministro en la que se respetan y promueven los derechos humanos, contribuyendo a los Objetivos de Desarrollo Sostenible de Naciones Unidas.Gracias a la colaboración con nuestros proveedores, trabajamos para conocer las instalaciones y procesos que se emplean para fabricar nuestros productos con el objetivo de conocer su trazabilidad.Hecho en TurquíaVer más']"
9,['VESTIDO CORTO BORDADOS'],"29,95 EUR","17,99 EUR","['COMPOSICIÓN, CUIDADOS & ORIGENCOMPOSICIÓNTrabajamos con programas de seguimiento para garantizar el cumplimiento de nuestros estándares sociales, medioambientales y de seguridad y salud de nuestros productos. Para evaluar su cumplimiento hemos desarrollado un programa de auditorías y planes de mejora continua.EXTERIORTEJIDO PRINCIPAL60% algodón40% viscosaENCAJE90% poliamida10% elastanoBORDADOS100% poliésterFORRO100% algodónQue contiene al menos:EXTERIORTEJIDO PRINCIPAL60% algodón de cultivo orgánico certificado OCSMATERIALES CERTIFICADOSALGODÓN DE CULTIVO ORGÁNICO CERTIFICADO OCSEsta fibra se produce sin utilizar fertilizantes ni pesticidas artificiales y se cultiva a partir de semillas que no han sido modificadas genéticamente. Actualmente trabajamos con el Organic Content Standard (OCS) que supervisa el proceso desde el origen hasta el producto final.Certificado por Intertek 193341Más informaciónCUIDADOSCuidar de tus prendas es cuidar del medioambienteLos lavados a bajas temperaturas y los programas de centrifugado suaves son más delicados con las prendas, ayudando a mantener el color, la forma y la estructura del tejido. Al mismo tiempo, reduce el consumo de energía que se utiliza en los procesos de cuidado.Guía para el cuidado de la ropaLavar a máquina max. 30ºC. Centrifugado cortoNo usar lejía / blanqueadorPlanchar máximo 110ºCNo limpieza en secoNo usar secadoraLavar por separadoORIGENTrabajamos con nuestros proveedores, trabajadores, sindicatos y organismos internacionales para desarrollar una cadena de suministro en la que se respetan y promueven los derechos humanos, contribuyendo a los Objetivos de Desarrollo Sostenible de Naciones Unidas.Gracias a la colaboración con nuestros proveedores, trabajamos para conocer las instalaciones y procesos que se emplean para fabricar nuestros productos con el objetivo de conocer su trazabilidad.Hecho en IndiaVer más']"
